,22.24,23.04,23.84,25.44,26.24,27.84,30.0,31.4,51.26,52.28,53.86,54.94,55.5,56.66,57.3,58.0,temperature,humidity,pressure,Bottom,Top
0,22.75365,22.11815,19.64634,15.517120000000002,14.368770000000001,13.247810000000001,13.07583,13.41841,98.1557,141.7492,249.0535,283.75741,287.64059,289.739,290.10393999999997,290.29758,290.199,16.117,1002.68,9808.0,10000.0
1,31.455240000000003,30.028270000000003,25.95545,19.58607,17.78967,15.908389999999999,15.285779999999999,15.50542,100.10593,143.71268,251.51346,287.07331,291.47938999999997,294.4777,295.17485,295.61217,298.591,24.162,1011.647,9808.0,10000.0
2,40.4026,37.6552,31.1794,22.2205,19.87055,17.43619,16.53505,16.689870000000003,101.55572,144.52763000000002,250.27864,284.27505,287.99804,290.03029,290.44096,290.69022,292.274,15.347,1007.164,5308.0,7058.0
3,40.11564,37.16153,30.58479,21.77297,19.48593,17.122529999999998,16.25561,16.414839999999998,101.02781,144.41,251.48897000000002,286.35606,290.46008,293.09357,293.71209,294.10816,297.105,21.741,1000.438,5558.0,7808.0
4,73.0396,69.42254,59.64809,45.577329999999996,41.996629999999996,38.71707,38.41169,39.462559999999996,132.83792,168.71581,255.32768,283.17638999999997,286.4241,288.47652,288.92725,289.20166,290.927,9.566,1003.801,1658.0,9308.0
5,64.99638,61.21236999999999,51.21168,35.87003,31.530490000000004,26.758340000000004,24.52751,24.36596,110.53398,151.47313,252.11352000000002,284.96196000000003,288.86045,291.39252,291.98143999999996,292.3545,295.059,15.46,998.197,2308.0,7308.0
6,51.5284,49.04811,41.88987,30.35619,26.998179999999998,23.29964,21.6594,21.6468,107.67687,149.151,251.04016000000001,284.15522000000004,287.9394,290.14893,290.61437,290.90407000000005,293.906,10.737,1008.284,508.0,3908.0
7,50.79457,48.905609999999996,42.01206,30.27263,26.83257,23.03744,21.31994,21.26717,107.0218,149.06787,253.27257999999998,288.5608,293.11367,296.1346,296.79566,297.20316,300.03,24.287,1002.68,0.0,0.0
8,35.25861,33.6791,28.835359999999998,21.26742,19.15987,16.93773,16.12323,16.29101,100.84224,144.4785,252.38617000000002,287.60676,291.43404,293.05118,293.2185,293.27957000000004,292.954,15.32,1007.164,0.0,0.0
9,47.63272,45.75582,39.19388,28.169659999999997,24.95958,21.41998,19.809060000000002,19.751910000000002,103.84402,147.76473000000001,257.22351000000003,294.10449,298.71962,301.52606000000003,302.09846,302.4431,304.623,30.788,1010.526,0.0,0.0
10,37.486470000000004,35.96609,31.00903,22.87312,20.530739999999998,18.000629999999997,16.980610000000002,17.082539999999998,100.96038,145.33137,255.29297999999997,291.08493,294.88302000000004,296.36544,296.5123,296.57042,297.45,18.477,1006.043,9558.0,10000.0
11,71.63721,69.58782,63.52993000000001,54.89573000000001,52.80729,51.292609999999996,52.14839,53.58241999999999,139.87796,175.56847,263.45382,293.15022999999997,296.92768,299.26931,299.78581,300.11633,303.007,26.07,1000.438,6808.0,10000.0
12,103.36344,99.91331,89.48286,73.75653,69.66408,65.98649,65.87428,67.23945,154.94653,186.71433000000002,264.28251,290.42419,293.65342999999996,295.41285,295.73092,295.91962,297.602,16.883,1001.559,5308.0,10000.0
13,80.02558,76.03045,64.44444,45.5073,39.907070000000004,33.57269,30.40833,30.0152,116.43155,157.10542,257.46872,290.54578,294.43142,296.61367,297.03375,297.27983,298.561,19.186,1012.768,8308.0,10000.0
14,107.56161999999999,103.7809,92.83335,76.75819,72.68812,69.20657,69.49616,71.15778,161.11195,191.30374,264.34648,288.67265,291.68605,293.44627,293.7958,294.00925,295.828,13.048,995.955,508.0,7408.0
