,0.001km,0.025km,0.05km,0.075km,0.1km,0.125km,0.15km,0.175km,0.2km,0.225km,0.25km,0.275km,0.3km,0.325km,0.35km,0.375km,0.4km,0.425km,0.45km,0.475km,0.5km,0.55km,0.6km,0.65km,0.7km,0.75km,0.8km,0.85km,0.9km,0.95km,1.0km,1.05km,1.1km,1.15km,1.2km,1.25km,1.3km,1.35km,1.4km,1.45km,1.5km,1.55km,1.6km,1.65km,1.7km,1.75km,1.8km,1.85km,1.9km,1.95km,2.0km,2.25km,2.5km,2.75km,3.0km,3.25km,3.5km,3.75km,4.0km,4.25km,4.5km,4.75km,5.0km,5.25km,5.5km,5.75km,6.0km,6.25km,6.5km,6.75km,7.0km,7.25km,7.5km,7.75km,8.0km,8.25km,8.5km,8.75km,9.0km,9.25km,9.5km,9.75km,10.0km
79,281.967,281.896,281.717,281.38,281.123,280.924,280.724,280.724,280.886,281.51,282.068,282.322,282.78,283.14,283.13,283.175,283.086,283.038,283.024,283.05,283.313,283.08,282.82,282.605,282.378,282.046,281.884,281.756,281.63,281.405,281.37,281.68,281.792,281.9,281.422,281.045,281.51,281.19,280.843,280.571,280.35,280.301,280.125,279.943,280.093,280.183,279.688,279.28,278.897,278.498,278.33,276.865,274.836,273.89,272.822,272.317,271.558,269.563,267.69,266.04,264.478,262.72,260.549,258.54,257.041,254.743,252.373,249.948,247.433,244.738,242.65,240.887,238.91,236.563,234.09,231.883,230.347,228.178,226.74,224.614,224.67,223.1,223.019
80,283.446,283.882,283.757,283.614,283.385,283.347,283.195,283.098,282.964,282.862,282.68,282.478,282.348,282.17,281.86,281.648,281.428,281.194,280.958,280.73,280.492,280.246,281.25,281.834,282.24,282.58,282.465,282.23,281.883,281.37,281.12,280.912,281.796,281.87,282.05,282.083,282.17,282.16,281.778,281.35,280.848,280.49,280.225,280.003,279.71,279.347,279.329,280.126,280.44,280.232,279.91,277.85,278.61,278.65,280.215,279.222,276.928,274.63,272.326,269.873,267.385,265.12,263.206,261.013,259.195,257.493,255.246,252.733,250.577,248.61,246.531,244.534,243.21,241.31,239.275,237.067,234.685,232.63,230.4,228.902,226.473,224.07,221.638
81,288.35,288.088,288.073,287.84,287.65,287.417,287.22,286.966,286.785,286.537,286.334,286.123,285.86,285.689,285.541,286.178,286.416,287.12,287.763,287.813,287.715,287.304,287.04,286.983,286.814,286.924,287.275,287.298,287.114,286.697,286.377,285.951,285.533,285.05,284.7,284.297,283.83,283.357,282.872,282.408,281.925,281.542,281.18,280.753,280.32,280.113,279.706,279.333,278.877,278.491,278.057,277.065,277.62,278.24,276.701,274.28,271.793,270.714,268.795,265.918,263.65,261.9,260.33,259.36,258.716,257.172,255.555,254.057,252.223,250.362,248.085,245.716,243.95,241.757,239.636,237.61,235.702,233.693,231.554,229.529,227.434,225.252,223.025
82,281.701,282.856,283.183,283.335,283.38,283.346,283.213,283.265,283.325,283.356,283.632,284.644,285.018,285.052,284.857,284.633,284.482,284.362,284.4,284.408,284.388,284.568,284.93,285.204,285.288,284.861,284.67,284.803,285.2,285.283,285.504,285.184,285.315,285.223,284.78,284.302,283.86,283.46,283.597,283.766,283.625,283.32,282.868,282.404,281.994,281.775,281.674,281.59,281.615,281.356,281.056,279.397,277.65,275.833,274.897,273.55,271.795,270.226,268.997,267.693,265.465,263.5,261.59,259.333,257.055,255.307,254.712,254.128,252.814,251.369,249.074,246.887,244.706,242.447,240.229,237.916,235.619,233.877,231.862,229.531,227.125,224.974,222.813
83,291.826,291.736,291.786,291.602,291.508,291.294,291.1,290.86,290.67,290.47,290.25,290.02,289.8,289.626,289.693,289.78,289.76,289.672,289.5,289.295,289.134,289.032,289.522,289.464,289.214,289.28,289.166,288.716,288.202,287.774,287.767,287.61,287.288,287.01,286.72,286.58,287.148,286.87,286.74,286.516,286.615,286.409,285.94,285.414,284.96,284.509,284.055,283.607,283.33,282.911,282.68,281.247,279.918,277.702,275.95,275.637,274.375,272.97,271.268,269.139,266.972,264.68,262.458,260.168,258.071,256.76,254.35,253.01,251.245,249.27,248.208,246.71,244.518,242.13,239.66,237.319,235.105,233.46,232.328,229.841,227.568,225.266,223.08
84,285.748,285.752,285.546,285.22,284.94,284.68,284.462,284.223,284.08,283.866,283.872,283.594,283.377,283.482,283.29,283.12,282.902,282.71,282.52,282.275,282.4,283.454,284.824,284.938,284.567,285.332,285.363,285.11,285.046,284.688,284.674,284.467,284.407,284.138,283.758,283.292,282.858,282.575,282.155,281.86,281.685,281.29,281.203,281.08,280.617,280.166,279.768,279.469,279.401,279.102,278.68,278.288,277.756,275.382,273.693,273.622,271.668,270.332,270.41,268.63,267.105,264.85,262.59,260.48,258.102,255.775,253.797,252.34,250.638,248.827,246.856,245.83,243.758,241.955,239.804,237.63,235.247,233.065,230.878,228.63,226.35,223.993,221.59
85,289.744,289.621,289.335,289.085,288.814,288.497,288.31,288.148,287.988,287.79,287.63,287.586,287.565,287.74,287.61,287.535,287.507,287.378,287.223,287.13,286.946,286.564,286.21,285.756,285.264,284.75,284.297,283.753,283.242,282.774,282.237,281.695,281.146,280.632,280.237,280.108,279.814,279.448,279.27,279.636,279.58,279.53,279.312,279.418,279.09,278.68,278.266,277.923,277.515,277.266,277.602,277.94,276.696,274.69,273.018,271.26,269.647,268.545,266.66,267.85,267.856,265.976,263.76,261.737,259.783,257.497,255.328,253.155,251.023,249.502,247.619,245.498,242.99,241.147,238.932,237.435,235.261,232.88,230.652,228.272,225.975,224.318,222.66
86,284.064,283.968,283.721,283.496,283.277,283.04,282.78,282.473,282.25,282.135,281.973,281.773,281.612,281.395,281.17,280.935,280.747,280.482,280.292,280.75,282.03,282.718,282.92,282.654,282.36,282.156,281.812,281.522,281.125,280.58,280.082,279.66,279.545,279.455,279.453,279.412,279.87,279.826,279.649,279.844,280.254,280.68,280.6,280.727,280.686,280.714,280.32,280.05,279.906,279.641,279.365,278.172,276.519,274.938,273.457,271.665,270.11,268.215,267.493,265.885,263.567,260.855,260.63,260.97,260.273,258.56,256.73,254.5,252.515,250.082,247.676,245.524,243.448,241.065,238.753,236.59,234.906,232.65,230.224,227.802,225.093,222.987,221.37
87,288.654,288.525,288.17,287.925,287.67,287.47,287.238,286.988,286.76,286.553,286.3,286.08,285.868,285.622,285.422,285.216,285.135,285.056,284.918,284.797,284.6,284.21,283.78,283.395,282.927,282.492,282.047,281.576,281.052,280.61,280.123,279.639,279.118,278.71,278.22,277.713,277.234,276.765,276.457,277.694,277.96,278.447,278.296,278.134,278.665,279.253,279.662,279.31,279.367,279.636,279.288,279.05,277.319,276.676,275.7,274.002,272.288,270.2,268.183,266.607,265.676,263.093,261.659,260.106,258.698,257.305,255.45,253.392,251.694,249.582,247.661,246.0,243.783,241.923,240.12,238.02,235.493,232.991,230.45,228.153,225.795,223.754,222.52
88,283.068,282.83,282.56,282.35,282.13,281.866,281.67,281.398,281.142,280.902,280.602,280.368,280.2,280.07,279.82,279.598,279.39,279.206,279.018,278.894,278.725,278.386,278.3,278.722,278.674,278.558,278.402,278.017,277.99,278.107,277.716,277.438,277.145,277.1,277.08,276.682,276.22,275.966,275.85,275.801,275.505,275.25,274.956,274.88,275.117,275.2,274.877,274.622,274.512,274.78,276.09,277.302,276.994,275.452,273.963,271.903,270.475,268.497,268.193,266.74,265.408,264.777,264.61,262.472,260.248,257.905,255.546,253.768,251.556,249.424,247.19,245.746,243.537,241.387,239.257,236.86,234.675,232.475,230.155,228.33,226.142,223.838,221.383
